date,headline,source,sentiment
2025-06-01,INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf Of Investors Of Apple Inc. (AAPL),Morningstar,-0.6
2025-05-29,App Store in the U.S. facilitated $406B in developer billings and sales in 2024,Apple Newsroom,0.8
2025-05-28,Logic Pro amplifies beat making on Mac and iPad with advanced new capabilities,Apple Newsroom,0.8
2025-05-27,App Store prevented more than $9 billion in fraudulent transactions,Apple Newsroom,0.7
2025-05-22,Apple products transform care at Emory Healthcare,Apple Newsroom,0.7
2025-05-20,Apple’s Worldwide Developers Conference kicks off June 9,Apple Newsroom,0.2
2025-05-12,11 New Apple products coming in 2025: What's on your wishlist?,The Gadget Flow,0.6
2025-05-05,Apple introduces the 2025 Pride Collection,Apple Newsroom,0.3
2025-05-01,Apple reports second quarter results,Apple Newsroom,0.0
2025-05-01,Apple’s Q2 2025 earnings beat expectations as iPhone sales rebound,Bloomberg,0.8
2025-05-01,Apple’s Services revenue hits new record in Q2 2025,The Wall Street Journal,0.8
2025-05-01,Apple CEO Tim Cook addresses AI strategy in earnings call,CNBC,0.1
2025-05-01,Apple stock jumps after strong Q2 results,Reuters,0.8
2025-05-02,Apple faces new antitrust probe in the EU over App Store policies,Financial Times,-0.6
2025-05-03,Apple’s supply chain in China faces renewed COVID-19 disruptions,The New York Times,-0.7
2025-05-04,Apple Watch sales surge amid new health features,USA Today,0.8
2025-05-05,Apple announces new environmental initiatives for 2025,The Verge,0.4
2025-05-06,Apple settles patent dispute with Ericsson over 5G technology,Reuters,0.3
2025-05-07,Apple’s Vision Pro headset receives mixed early reviews,TechCrunch,0.0
2025-05-08,Apple faces lawsuit over alleged App Store monopoly in the US,The Washington Post,-0.6
2025-05-09,Apple to invest $1 billion in US manufacturing,Forbes,0.8
2025-05-10,Apple’s iPhone 16e pre-orders exceed expectations,MacRumors,0.8
2025-05-11,Apple faces backlash over Siri privacy concerns,Business Insider,-0.6
2025-05-12,Apple’s new M4 MacBook Air receives critical acclaim,Engadget,0.8
2025-05-13,Apple’s iPad market share rises in Q1 2025,IDC,0.6
2025-05-14,Apple’s Tim Cook meets with US lawmakers over China tariffs,CNN,0.0
2025-05-15,Apple’s CarPlay Ultra launches with major automaker partnerships,The Verge,0.8
2025-05-16,Apple faces delays in iOS 19 rollout due to software bugs,9to5Mac,-0.6
2025-05-17,Apple’s App Store under scrutiny after developer complaints,Bloomberg,-0.4
2025-05-18,Apple’s iPhone sales in India hit record high,The Economic Times,0.8
2025-05-19,Apple to expand Apple Pay to more countries in 2025,Reuters,0.7
2025-05-20,Apple’s WWDC 2025 expected to unveil major AI updates,The Wall Street Journal,0.6
2025-05-21,Apple’s App Store commission rates challenged in US court,The New York Times,-0.3
2025-05-22,Apple’s Emory Healthcare partnership highlights digital health push,Healthcare IT News,0.5
2025-05-23,Apple faces new class-action lawsuit over iCloud storage fees,Law360,-0.6
2025-05-24,Apple’s environmental report shows progress toward carbon neutrality,Apple Newsroom,0.6
2025-05-25,Apple’s stock volatility rises ahead of WWDC,MarketWatch,0.0
2025-05-26,Apple’s iPhone 17 rumors spark excitement among investors,Barron’s,0.7
2025-05-27,Apple’s App Store fraud prevention efforts praised by analysts,TechCrunch,0.7
2025-05-28,Apple expands Self Service Repair program to more devices,The Verge,0.4
2025-05-29,Apple’s App Store economic impact report released,Apple Newsroom,0.0
2025-05-30,Apple’s Vision Pro faces supply chain challenges,Financial Times,-0.4
2025-05-31,Apple’s executive shakeup as longtime CFO retires,Bloomberg,-0.2
2025-06-01,Apple faces investor scrutiny over delayed Siri updates,Morningstar,-0.4
2025-06-01,Apple’s stock opens lower amid regulatory concerns,CNBC,-0.4
2025-06-01,Apple’s WWDC 2025 keynote to focus on AI and privacy,The New York Times,0.3
2025-06-01,Apple’s App Store policies under renewed antitrust investigation,Reuters,-0.5
2025-06-01,Apple’s Tim Cook to testify before Congress on tech regulation,The Wall Street Journal,0.0
